game_date,pitcher_name,pitcher_home_away,batter,batter_stance,opponent,pitch_name,release_spin_rate,spin_axis,effective_speed,pitch_result,exit_velocity,game_type,season_type,at_bat_outcome,at_bat_number,strikes
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,Sinker,2692,190,92.3,in play,103.8,League Championship,Post Season,double,49,0
10/21/2022,"Musgrove, Joe",away,"Castellanos, Nick",R,PHI,Slider,3047,53,81.7,in play,91.7,League Championship,Post Season,double,48,2
10/21/2022,"Musgrove, Joe",away,"Castellanos, Nick",R,PHI,Slider,3100,42,82.9,strike,,League Championship,Post Season,,48,1
10/21/2022,"Musgrove, Joe",away,"Castellanos, Nick",R,PHI,Slider,3033,51,82.8,strike,,League Championship,Post Season,,48,0
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Changeup,2081,221,85.5,in play,62.3,League Championship,Post Season,field_out,47,2
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2874,35,81.4,strike,82.7,League Championship,Post Season,,47,2
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,4-Seam Fastball,2703,216,93.3,strike,82.4,League Championship,Post Season,,47,2
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Changeup,1934,224,88.2,ball,,League Championship,Post Season,,47,2
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2693,39,81.4,strike,,League Championship,Post Season,,47,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Changeup,1928,230,87.3,ball,,League Championship,Post Season,,47,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Slider,2822,51,81.1,strike,,League Championship,Post Season,,47,0
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Changeup,1904,228,87.6,ball,,League Championship,Post Season,,47,0
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,Sinker,2472,202,93.0,in play,44.7,League Championship,Post Season,field_out,46,1
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,Cutter,2675,186,89.6,strike,,League Championship,Post Season,,46,0
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2956,57,81.4,strike,,League Championship,Post Season,strikeout,41,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2829,37,81.1,strike,85.7,League Championship,Post Season,,41,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,4-Seam Fastball,2705,213,92.7,ball,,League Championship,Post Season,,41,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Cutter,2692,187,89.4,strike,83.8,League Championship,Post Season,,41,1
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Slider,3023,53,81.9,strike,,League Championship,Post Season,,41,0
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Curveball,2934,41,81.2,strike,,League Championship,Post Season,strikeout,40,2
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Cutter,2790,182,90.4,ball,,League Championship,Post Season,,40,2
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,4-Seam Fastball,2772,207,92.4,ball,,League Championship,Post Season,,40,2
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Changeup,2094,234,87.3,strike,,League Championship,Post Season,,40,1
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Slider,2885,58,81.4,strike,,League Championship,Post Season,,40,0
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,4-Seam Fastball,2762,208,91.5,strike,,League Championship,Post Season,strikeout,39,2
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,Changeup,2116,236,85.6,strike,32.7,League Championship,Post Season,,39,1
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,Cutter,2598,218,90.2,strike,95.1,League Championship,Post Season,,39,0
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,Cutter,2650,179,87.3,ball,,League Championship,Post Season,,39,0
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,Slider,2945,49,83.2,in play,76.1,League Championship,Post Season,single,33,2
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,4-Seam Fastball,2682,206,92.7,strike,79.8,League Championship,Post Season,,33,2
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,Curveball,2721,35,81.7,ball,,League Championship,Post Season,,33,2
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,4-Seam Fastball,2526,208,92.5,strike,80.5,League Championship,Post Season,,33,1
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,Curveball,2739,39,80.2,strike,,League Championship,Post Season,,33,0
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Changeup,1938,231,88.0,in play,101.0,League Championship,Post Season,double,32,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Curveball,2731,34,80.5,strike,66.1,League Championship,Post Season,,32,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,4-Seam Fastball,2651,210,92.2,strike,52.9,League Championship,Post Season,,32,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Changeup,2121,235,86.4,ball,,League Championship,Post Season,,32,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Cutter,2552,203,91.6,ball,,League Championship,Post Season,,32,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Changeup,2263,232,87.8,strike,62.8,League Championship,Post Season,,32,1
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Curveball,2781,43,79.6,strike,,League Championship,Post Season,,32,0
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,Slider,2917,55,81.2,in play,102.3,League Championship,Post Season,single,31,0
10/21/2022,"Musgrove, Joe",away,"Castellanos, Nick",R,PHI,Changeup,1961,228,87.7,in play,63.4,League Championship,Post Season,grounded_into_double_play,30,0
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Cutter,2670,188,89.6,in play,105.8,League Championship,Post Season,single,29,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2817,42,79.8,ball,,League Championship,Post Season,,29,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Cutter,2627,201,91.8,ball,,League Championship,Post Season,,29,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2798,38,79.2,strike,,League Championship,Post Season,,29,0
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2704,46,78.8,ball,,League Championship,Post Season,,29,0
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,Sinker,2610,203,92.1,in play,94.0,League Championship,Post Season,field_out,22,1
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,Curveball,2912,40,80.2,strike,,League Championship,Post Season,,22,0
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,4-Seam Fastball,2602,210,92.7,ball,,League Championship,Post Season,,22,0
10/21/2022,"Musgrove, Joe",away,"Realmuto, J.T.",R,PHI,Cutter,2755,180,90.3,ball,,League Championship,Post Season,,22,0
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2770,39,81.9,strike,,League Championship,Post Season,strikeout,21,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2946,48,82.1,ball,,League Championship,Post Season,,21,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,4-Seam Fastball,2744,211,92.6,ball,,League Championship,Post Season,,21,2
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Cutter,2625,166,88.2,strike,,League Championship,Post Season,,21,1
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2896,53,80.7,ball,,League Championship,Post Season,,21,1
10/21/2022,"Musgrove, Joe",away,"Hoskins, Rhys",R,PHI,Curveball,2806,35,81.0,strike,,League Championship,Post Season,,21,0
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,4-Seam Fastball,2543,199,92.1,in play,90.4,League Championship,Post Season,field_out,20,0
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Curveball,2889,43,80.4,ball,,League Championship,Post Season,,20,0
10/21/2022,"Musgrove, Joe",away,"Schwarber, Kyle",L,PHI,Cutter,2571,176,86.6,ball,,League Championship,Post Season,,20,0
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,4-Seam Fastball,2680,211,92.6,strike,,League Championship,Post Season,strikeout,16,2
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,Curveball,2887,42,81.6,ball,,League Championship,Post Season,,16,2
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,4-Seam Fastball,2672,204,92.7,strike,65.6,League Championship,Post Season,,16,1
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,Curveball,2704,44,80.4,strike,,League Championship,Post Season,,16,0
10/21/2022,"Musgrove, Joe",away,"Marsh, Brandon",L,PHI,4-Seam Fastball,2543,210,92.3,ball,,League Championship,Post Season,,16,0
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,4-Seam Fastball,2517,210,92.7,in play,91.9,League Championship,Post Season,field_out,15,1
10/21/2022,"Musgrove, Joe",away,"Segura, Jean",R,PHI,Cutter,2705,191,89.6,strike,,League Championship,Post Season,,15,0
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Slider,2963,70,82.8,in play,105.3,League Championship,Post Season,double,14,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,Curveball,2792,38,81.7,strike,62.3,League Championship,Post Season,,14,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,4-Seam Fastball,2643,214,92.0,strike,78.0,League Championship,Post Season,,14,2
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,4-Seam Fastball,2608,214,92.8,strike,,League Championship,Post Season,,14,1
10/21/2022,"Musgrove, Joe",away,"Stott, Bryson",L,PHI,4-Seam Fastball,2648,212,92.3,strike,,League Championship,Post Season,,14,0
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,Slider,2822,46,82.2,in play,81.4,League Championship,Post Season,field_out,13,2
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,4-Seam Fastball,2558,214,91.7,strike,74.4,League Championship,Post Season,,13,2
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,4-Seam Fastball,2562,215,93.0,strike,,League Championship,Post Season,,13,1
10/21/2022,"Musgrove, Joe",away,"Bohm, Alec",R,PHI,4-Seam Fastball,2538,208,91.3,strike,,League Championship,Post Season,,13,0
10/21/2022,"Musgrove, Joe",away,"Castellanos, Nick",R,PHI,Sinker,2387,211,92.6,in play,82.0,League Championship,Post Season,field_out,8,0
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Curveball,2665,36,81.2,in play,94.8,League Championship,Post Season,grounded_into_double_play,7,2
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Sinker,2372,215,93.3,strike,78.5,League Championship,Post Season,,7,1
10/21/2022,"Musgrove, Joe",away,"Harper, Bryce",L,PHI,Changeup,1900,243,86.6,ball,,League Championship,Post Season,,7,1
